DHEA,dhea,C0011185
surgery only,surgery,C0038894
diaphragm,diaphragm,C0011980
beclomethasone dipropionate plus salmeterol ( BDP + S ),beclomethasone dipropionate salmeterol bdp +,C0004905|G0000000|C0073992|C0004906|G0000000
postural support nappy,postural support nappy,C0205278|C0183683|C0180416
SYN,syn,G0000000
induction intrathecal chemotherapy ( ITC ),induction intrathecal chemotherapy itc,C0205263|C1370196|C0013216|G0000000
60 mg of the beta-carotene preparation,60 beta-carotene preparation,C0450371|C0053396|C1521827
supportive therapy,supportive therapy,C1521721|C0039798
once-daily mizolastine,once-daily mizolastine,C0332173|C0171302
ASC plus vinorelbine,asc vinorelbine,C3539025|C0078257
etanercept-treated,etanercept-treated,C0717758
blood conservation device incorporated into the arterial pressure monitoring system,blood conservation device incorporated arterial pressure monitoring system,C0005767|C2347858|C0025080|G0000000|C0003842|C0033095|C0150369|C0449913
saline nasal spray,saline nasal spray,C0036082|C0028429|C1704413
postoperative radiotherapy with 50 Gy,postoperative radiotherapy 50 gy,C0032790|C0034619|C0450371|C0018408
abstinent-contingent housing and work,abstinent-contingent housing,C0457801|C0020056
nizatidine controlled release ( CR ),nizatidine controlled release cr,C0085154|C2587213|C0030685|C0201975
motivational interviewing lecture,motivational interviewing lecture,C0026605|C0021822|C0376683
ginseng extract,ginseng extract,C0086767|C2828366
solid-state green laser ( GLX ),solid-state green laser glx,C0597486|C0332583|C0023089|G0000000
Active treatments,active treatments,C0205177|C0087111
"propranolol , atenolol",propranolol atenolol,C0033497|C0004147
bronchodilators,bronchodilators,C0006280
only TU,tu,C0041400
Oral sildenafil,oral sildenafil,C0442027|C0529793
"YM17E , an inhibitor of acyl coenzyme",ym17e inhibitor acyl coenzyme,G0000000|C1999216|G0000000|C0009235
lactoferrin supplementation,lactoferrin supplementation,C0022942|C0242297
pre- and postoperative radiation ( 45 Gy ),pre- postoperative radiation 45 gy,C0332152|C0032790|C0034519|C0450371|C0018408
gamma linolenic acid,gamma linolenic acid,C0017011|G0000000|C0001128
Ultrasonographic tissue characterisation,ultrasonographic tissue characterisation,G0000000|C0040300|C1880022
"Endurance physical activity , diet",endurance physical activity diet,C0518031|C0031809|C0205177|C0012155
addition of capecitabine to docetaxel,addition capecitabine docetaxel,C0332287|C0671970|C0246415
triple therapy,triple therapy,C0205174|C0039798
limited-fed a corn-based diet,limited-fed corn-based diet,C0439801|C0010028|C0012155
corticosteroid therapy,corticosteroid therapy,C0001617|C0039798
zotarolimus-eluting stents,zotarolimus-eluting stents,C1700035|C0038257
retapamulin ointment,retapamulin ointment,C1703334|C0028912
BBTW,bbtw,G0000000
OT application,ot application,C1318464|C0185125
3RH regimen,3rh regimen,G0000000|C0040808
transurethral resection,transurethral resection,C0205497|C0015252
iontophoresis,iontophoresis,C0022024
hypocaloric diet,hypocaloric diet,G0000000|C0012155
moxifloxacin,moxifloxacin,C0536495
cyclophosphamide and 5-FU ( CF ),cyclophosphamide 5-fu cf,C0010583|C0016360|C0009738
remaxol,remaxol,C3179567
"tinidazole , tetracycline , bismuth and rabeprazole",tinidazole tetracycline bismuth rabeprazole,C0040263|C0039644|C0005642|C0378482
Dexamethasone sodium phosphate ( DEX-P ) phonophoresis ( PH ),dexamethasone sodium phosphate dex-p phonophoresis ph,C0011777|C0037473|C0031603|C0369773|C0031582|C0450407
3-month waitlist,3-month waitlist,C0332177|C0043010
lead configurations,lead configurations,C0023175|C0449830
tropisetron,tropisetron,C0063322
UGIE with sedation ( 0.1 mg/kg of midazolam ),ugie sedation 0 1 mg/kg midazolam,G0000000|C0235195|G0000000|G0000000|C0439272|C0026056
bypass,bypass,C0741847
Sublingual administration of allergens,sublingual administration allergens,C0001565|C0001554|C0002092
adriamycin,adriamycin,C0085752
tetrahydrobiopterin ( BH4 ),tetrahydrobiopterin bh4,C0048897|G0000000
percutaneous radiotherapy,percutaneous radiotherapy,C0522523|C0034619
Rizatriptan,rizatriptan,C0297635
crude protein,crude protein,G0000000|C0033684
fulvestrant,fulvestrant,C0935916
Fat emulsion,fat emulsion,C0424612|C0014020
20 ml of bupivacaine ( 100 mg ),20 bupivacaine 100,C0450371|C0006400|C1442061
on land as in water,land water,C0557668|C0043047
AP-1 activation,ap-1 activation,C3887950|C1879547
induction of anesthesia with halothane,induction anesthesia halothane,C0205263|C0002903|C0018549
Serial computed tomography ( CT ) scans,serial computed tomography ct scans,C0031082|C1441526|C0040395|C0007673|C0034606
Supervisor tolerance-responsiveness,supervisor tolerance-responsiveness,C0403172|C0013220
intravitreal ranibizumab injections plus deferred laser,intravitreal ranibizumab injections deferred laser,G0000000|C1566537|C0021485|C0205421|C0023089
glyceryl trinitrate,glyceryl trinitrate,G0000000|G0000000
"montelukast , a cysteinyl leukotriene receptor antagonist",montelukast cysteinyl leukotriene receptor antagonist,C0298130|G0000000|C0023545|C0597357|C0231491
growth hormone treatment,growth hormone treatment,C0018270|C0019932|C0039798
Granisetron,granisetron,C0061863
daily event sampling study,daily event sampling study,C0332173|C0441471|C0441621|C0557651
supervision from a psychiatrist,supervision psychiatrist,C0038842|C0033872
ciclesonide,ciclesonide,C0907850
short-term language intervention,short-term language intervention,C0443303|C0023008|C0886296
"anterior rhinomanometry ( aR ) , the impulse-oscillometric rhinometry ( IOS )",anterior rhinomanometry ar impulse-oscillometric rhinometry ios,C0205094|C0430615|C2986463|C4050256|G0000000|C0242753
salbutamol 100 microg ( group A ),salbutamol 100 microg,C0001927|C1442061|G0000000
6400 cGy of radiation therapy,6400 cgy radiation therapy,G0000000|C0556645|C0034519|C0039798
rotigotine,rotigotine,C1700683
the same regimen as the PAC7 group but for 14 days,regimen pac7 14 days,C0040808|G0000000|C0450371|C0439228
expectant management,expectant management,C0679138|C0001554
sleep deprivation,sleep deprivation,C0037313|C0871712
combination of melphalan and cis-platinum,combination melphalan cis-platinum,C0205195|C0025241|C0008838
s-enantiomers levobupivacaine,s-enantiomers levobupivacaine,C0599473|C0873118
low-sodium ( 40 mmol/day ) diet,low-sodium 40 mmol/day diet,C0012169|C0450371|C0439433|C0012155
midazolam-alfentanil sedation,midazolam-alfentanil sedation,C0026056|C0235195
concurrent gemcitabine,concurrent gemcitabine,C0205420|C0045093
WST-1 assay,wst-1 assay,G0000000|C0005507
"movement selection and initiation ( initiate ) , synchronisation of finger tapping with an external auditory cue ( synchronise )",movement selection initiation initiate synchronisation finger tapping external auditory cue synchronise,C0026649|C0036576|C0589507|C1548602|C0439580|C0016129|C0034115|C0205101|C0439825|C0010439|G0000000
bedside-precepted visit with an oncology nurse specialist with pain specialization and a focus group to discuss attitudinal issues,bedside-precepted visit oncology nurse specialist pain specialization focus attitudinal issues,G0000000|C0545082|C0027651|C0028661|C0087009|C0030193|C0037776|C0205234|G0000000|C0033213
SULP,sulp,C1564257
The treatment began the day before operation and continued on average up to the eighth day for the Defibrotide group,treatment day operation continued average eighth day defibrotide,C0039798|C0332173|C0543467|C0549178|C1510992|C0205442|C0332173|C0057257
anaesthetic-loaded microspheres,anaesthetic-loaded microspheres,C0002932|C0026032
weighted vests,weighted vests,C0005910|C0453884
Basel Switzerland ),basel switzerland,C0331779|C0039021
HPV16 ( and HPV18 ),hpv16 hpv18,G0000000|G0000000
peridural morphine,peridural morphine,C1518975|C0026549
SPECT,spect,C0040399
slotted nails,slotted nails,G0000000|C0027342
indomethacin,indomethacin,C0021246
Prostaglandin F2 alpha,prostaglandin f2 alpha,C0033554|G0000000|C0439095
prednisone ( COPP ) plus doxorubicin,prednisone copp doxorubicin,C0032952|C0056286|C0013089
Diuretic,diuretic,C0012798
Interactive Voice Response System,interactive voice response system,C1704675|C0042939|C0871261|C0449913
"infusion of GHRH antagonist ( ( N-Ac-Tyr ( 1 ) , D-Arg ( 2 ) ) GHRH-29 ( NH ( 2 ) ) )",infusion ghrh antagonist n-ac-tyr 1 d-arg 2 ghrh-29 nh 2,C0574032|G0000000|C0231491|C0369718|G0000000|C0073187|G0000000|C0450371|C0042321|G0000000
abdominal hysterectomy,abdominal hysterectomy,C0000726|C0020699
encephalopathy therapeutic tongue acupoint apparatus ( ETTAA ),encephalopathy therapeutic tongue acupoint apparatus ettaa,C0006111|C0087111|C0040408|C0001302|C0243111|G0000000
This dose was then maintained for 4 weeks,dose maintained 4 weeks,C0178602|C1314677|G0000000|C0439230
special-effect contact lenses ( Crazy Lenses ),special-effect contact lenses crazy lenses,C0205555|C0332158|C0023317|G0000000|C0023317
versus intravenous amphotericin B,versus intravenous amphotericin,G0000000|C0348016|C0002679
oral surgery,oral surgery,C0442027|C0038894
sometimes real and sometimes sham,real sham,C0237400|C0068899
thoracic EA with bupivacaine ( 0.5 % ),thoracic ea bupivacaine 0 5 %,G0000000|C0014963|C0006400|G0000000|G0000000|G0000000
adrenocorticotrophic hormone ( 4-9 ) analog ORG 2766,adrenocorticotrophic hormone 4-9 analog org 2766,G0000000|C0019932|G0000000|C0243071|C1522486|G0000000
VNR/CDDP,vnr/cddp,C0008838
dactinomycin ( Actinomycin D [ AMD ],dactinomycin actinomycin amd,C0010934|C0001259|C3539530
educational instrument,educational instrument,C0587721|C0348000
ketamine,ketamine,C0022614
"conventional , acidic , 35 mM lactate PD fluid",conventional acidic 35 mm lactate pd fluid,C0439858|C0001128|C0450371|G0000000|C0022924|G0000000|C0005889
low residue test meals and the PEG 4L regimen ( TM-PEG,low residue test meals peg 4l regimen tm-peg,C0205251|C1709915|C0022885|C1998602|G0000000|C4053562|C0040808|C2744539
clinical pharmacist,clinical pharmacist,C0205210|C0031323
oropharyngeal class according to the modified Mallampati criteria ;,oropharyngeal class modified mallampati criteria,C0521367|C0456387|C0392747|G0000000|C0243161
peripheral vasodilator diazoxide,peripheral vasodilator diazoxide,C0205100|C0042402|C0012022
bedside talc slurry,bedside talc slurry,G0000000|C0039267|C1883043
over-selected stimuli,over-selected stimuli,C0205136|C0234402
TAH,tah,C0404079
hot-press methods,hot-press methods,C0444519|C0025663
pilocarpine HCl,pilocarpine hcl,C0031923|G0000000
TAM,tam,C0039286
TB1,tb1,G0000000
1-3 g/kg/day of fat emulsion into either the ecmo circuit or separate intravenous access,1-3 g/kg/day fat emulsion ecmo circuit separate intravenous access,G0000000|C1532536|C0424612|C0014020|C0015357|G0000000|C0443299|C0348016|C0444454
breast-feeding promotion,breast-feeding promotion,C0006147|C0033414
primaquine ( 30 mg a day for 14 days ),primaquine 30 day 14 days,C0033126|C0450371|C0332173|C0450371|C0439228
sodium phosphate,sodium phosphate,C0037473|C0031603
TAU,tau,C1720655
pindolol combined with 5 mg clopamide,pindolol combined 5 clopamide,C0031937|C0205195|G0000000|C0009025
standing orders in common obstetric problems,standing common obstetric,C0231472|C0205214|C0205484
strict glycemic control by nateglinide,strict glycemic control nateglinide,G0000000|C0005802|C0243148|C0903898
HepB,hepb,C0061073
carbenicillin ( CB ) or ampicillin ( AMP ),carbenicillin cb ampicillin amp,C0006976|C0006797|C0002680|G0000000
chlorhexidine gluconate,chlorhexidine gluconate,C0008196|C0017714
tested after a 7-day delay .,tested 7-day delay,C0392366|C0332173|C0205421
subjective workload assessment technique ( SWAT ),subjective workload assessment technique swat,C0439655|C0085122|C1261322|C0449851|G0000000
ion exchange membrane,ion exchange membrane,C0022023|C0678640|C0025255
cloxacillin,cloxacillin,C0009077
Haemophilus influenzae type B conjugate vaccines,haemophilus influenzae type conjugate vaccines,C0018479|C0021400|C0332307|C0301869|C0042210
strontium ranelate ( SrRan ),strontium ranelate srran,C0038467|G0000000|G0000000
suppositories and ointment with 30 % free fatty acid ( FFA ) extract from omega-3 fish oil,suppositories ointment 30 % free fatty acid ffa extract omega-3 fish oil,C0031246|C0028912|C0450371|G0000000|C0332296|G0000000|C0001128|C0015688|C2828366|C1719844|C0016163|C0028908
cementless implant,cementless implant,G0000000|C0021102
V/HCTZ,v/hctz,C0020261
TBS,tbs,C0265246
Hydrocodone,hydrocodone,C0020264
4L polyethylene glycol ( PEG ) solution,4l polyethylene glycol peg solution,C4053562|C0032487|C0017945|G0000000|C0037633
parent education and skills training intervention,parent education skills training intervention,C0030551|C0013621|C0678856|C0040607|C0886296
0.9 % NaCl solution,0 9 % nacl solution,G0000000|G0000000|G0000000|C0037494|C0037633
CAF,caf,C3812373
CAI,cai,C0064494
behavioral treatment,behavioral treatment,C0004927|C0039798
water,water,C0043047
CAM,cam,C0597815
behavior modeling,behavior modeling,C0004927|C0870071
one eye with GLX,eye glx,C0015392|G0000000
Ringer 's lactate,ringer lactate,C1875730|C0022924
TCA,tca,C0041405
CAS,cas,G0000000
etidronate,etidronate,C0086268
radiation therapy,radiation therapy,C0034519|C0039798
"oral calcium plus oral clodronate , 400 mg/day for 30 days , followed by a 60-day period of calcium supplement alone .",oral calcium oral clodronate 400 mg/day 30 days 60-day period calcium supplement,C0442027|C0006675|C0442027|C0162357|C1442061|C0439422|C0450371|C0439228|C0450371|C0439531|C0006675|C0242295
oral Lactobacillus GG,oral lactobacillus gg,C0442027|C0022938|C0017454
Senokot,senokot,C0699932
antagonists,antagonists,C0243076
ddC,ddc,C0012132
traditional CTR technique,traditional ctr technique,C0443324|G0000000|C0449851
CBA,cba,C0025922
TCT,tct,C0677634
phospholipids ( lipostabil forte ),phospholipids lipostabil forte,C0031676|C0065065|G0000000
fesoterodine-controlled,fesoterodine-controlled,C2343853
echocardiography,echocardiography,C0013516
anterior approach technique,anterior approach technique,C0205094|C0449445|C0449851
Intensive case management,intensive management,C0162425|C0001554
sham intravitreal injections,sham intravitreal injections,C0068899|G0000000|C0021485
live supervision via telephone,live supervision telephone,C1548795|C0038842|C0039457
capecitabine/docetaxel therapy,capecitabine/docetaxel therapy,C0796483|C0039798
CBT,cbt,C0009244
HDPM,hdpm,G0000000
angioplasty versus lone angioplasty therapy,angioplasty versus lone angioplasty therapy,C0162577|G0000000|G0000000|C0162577|C0039798
peginterferon alpha ( pegIFNalpha ),peginterferon alpha pegifnalpha,C0982327|C0439095|G0000000
Continuous infusion of ranitidine at 6.25 mg/hr,continuous infusion ranitidine 6 25 mg/hr,C0549178|C0574032|C0034665|G0000000|C0450371|C0439421
ABC-related,abc-related,C0152244
behavioral program,behavioral program,C0004927|C1709697
Pantoprazole,pantoprazole,C0081876
therapy,therapy,C0039798
coping with stress exposure from family and work,coping stress exposure family,C0009967|C0038435|C0274281|C0015576
Hyperbaric oxygen,hyperbaric oxygen,G0000000|C0030054
Defibrotide,defibrotide,C0057257
Pemetrexed-cisplatin,pemetrexed-cisplatin,C0210657
polychemotherapy,polychemotherapy,C0013218
surgical clipping and endovascular treatment,surgical clipping endovascular treatment,C0543467|C0185010|C0524425|C0039798
Irinotecan,irinotecan,C0123931
contrast agent injections ( 10 ml dextrose in water/0.25 ml air ),contrast agent injections 10 dextrose water/0 25 air,C0009924|C0450442|C0021485|C0450371|C0017725|C0043047|C0450371|C0001861
normal control .,normal control,C0205307|C0243148
TEN,ten,C0014518
intravenous cisplatin,intravenous cisplatin,C0348016|C0008838
Health Buddy ( R ),health buddy,C0018684|G0000000
standard infant formulas,standard infant formulas,C1442989|C0021270|C0489829
ADHD Internet portal,adhd internet portal,C1263846|C0282111|C0205054
other antianginal drugs,antianginal drugs,C1874267|C0013227
CDA,cda,C0002876
eicosapentaenoic acid ( EPA ),eicosapentaenoic acid epa,G0000000|C0001128|G0000000
