third stage of labor,stage labor,C0205390|C0022864
Alzheimer 's,alzheimer,G0000000
special needs,special,C0205555
ambulatory HMO enrollees,ambulatory hmo enrollees,C0439841|C0018720|G0000000
intracranial lesions,intracranial lesions,C0524466|C0221198
type 2 diabetic,type 2 diabetic,C0332307|G0000000|C0241863
10.4 mo,10 4 mo,C0450371|G0000000|C0026544
n=682,n=682,C0369718
polychemotherapy,polychemotherapy,C0013218
definite diabetic autonomic neuropathy over a period of 2 years,definite diabetic autonomic neuropathy period 2,C0439544|C0241863|C0004388|C0442874|C0439531|G0000000
3 and 10,3 10,G0000000|C0450371
Thirty-one adults,thirty-one adults,C3816446|C0001675
low-BP,low-bp,C0020649
"21 patients with coronary artery disease who were receiving placebo , acebutolol , and propranolol in a double-blind",21 patients coronary artery disease receiving placebo acebutolol propranolol double-blind,C0450371|C0030705|C0018787|C0003842|C0012634|C1514756|C0032042|C0000946|C0033497|C0013072
60 minimally verbal autistic children,60 minimally verbal autistic children,C0450371|G0000000|C0439824|C0004352|C0008059
CNS+,cns+,C3714787
ovarian cysts,ovarian cysts,C0205065|C0010709
Twelve nonsmoking healthy,twelve nonsmoking healthy,C0205458|G0000000|C3898900
prostate size 40-200 g,prostate size 40-200,C0033572|C0456389|C0450371
( 444,444,C1442061
26 athletes,26 athletes,C0450371|C0238703
10 hypertensive,10 hypertensive,C0450371|C0857121
blepharitis,blepharitis,C0005741
pertussis,pertussis,C0043167
reduced LVEF,reduced lvef,C0392756|C0428772
Thirty-three,thirty-three,C3816446
sleep disturbances,sleep disturbances,C0037313|C2699787
Psoriasis of the scalp,psoriasis scalp,C0033860|C0036270
asthmatic,asthmatic,C0004096
10 women,10 women,C0450371|C0043210
high blood folate values,blood folate values,C0005767|C0178638|C0042295
20 adult,20 adult,C0450371|C0001675
C.A .,NULL,NULL
phenol-peeled,phenol-peeled,C0031428
ovarian cancer,ovarian cancer,C0205065|C0006826
mild,mild,C2945599
persistent AF,persistent af,C0205322|C0344434
5 males,5 males,G0000000|C0086582
human essential hypertension .,human essential hypertension,C0086418|C0205224|C0020538
individuals considering genetic testing for hereditary nonpolyposis colorectal cancer risk .,individuals genetic testing hereditary nonpolyposis colorectal cancer risk,C0027361|C0017296|C0039593|C0439660|G0000000|C0555952|C0006826|C0035647
total laryngectomy,total laryngectomy,C0439175|C0023065
4 and 12,4 12,G0000000|C0450371
2437,2437,G0000000
assigned,assigned,C1516050
adult,adult,C0001675
advanced infectious keratitis and coexisting corneal melting,advanced infectious keratitis coexisting corneal melting,C0205179|C0009450|C0022568|G0000000|C0010031|C0599882
ventricular arrhythmia,ventricular arrhythmia,C0018827|C0003811
Cows,cows,C3539595
Parkinson disease,parkinson disease,C1021144|C0012634
under fasting,fasting,C0015663
acute coronary syndrome,acute coronary syndrome,C0205178|C0018787|C0039082
ErbB2 overexpressing metastatic breast cancer,erbb2 overexpressing metastatic breast cancer,G0000000|C1514559|C0036525|C0006141|C0006826
healthy hallucinogen-using,healthy hallucinogen-using,C3898900|C0018533
57 perimenopausal,57 perimenopausal,C0450371|C0849668
chronic venous insufficiency ( CVI ),chronic venous insufficiency cvi,C0205191|C0042449|C0231179|G0000000
evolving MI to PTCA therapy,evolving mi ptca therapy,C0332253|C3810814|C2936173|C0039798
Chronic cancer pain,chronic cancer pain,C0205191|C0006826|C0030193
20 of whom used OC,20 oc,C0450371|C1412791
CGN,cgn,G0000000
Three hundred eighty-nine,eighty-nine,C3830331
arrhythmia,arrhythmia,C0003811
766 low-income adolescents,766 low-income adolescents,C1442061|C0032854|C0205653
psychogenic nonepileptic seizures,psychogenic nonepileptic seizures,C0458006|G0000000|C0036572
CHF,chf,C0018802
moderate coronary disease,moderate coronary disease,C0205081|C0018787|C0012634
chorioptic mange,chorioptic mange,G0000000|C0024709
36 postmenopausal women,36 postmenopausal women,C0450371|C0232970|C0043210
patients with symptomatic stenoses .,patients symptomatic stenoses,C0030705|C0231220|C1261287
chronic suppurative otitis media,chronic suppurative otitis media,C0205191|C3203360|C0029877|C0009458
chronic tonsillitis,chronic tonsillitis,C0205191|C0040425
who receive psychiatric treatment,receive psychiatric treatment,C1514756|C0205487|C0039798
ischemic disease,ischemic disease,C0475224|C0012634
young males,males,C0086582
hypotension,hypotension,C0020649
"dysfunctional , stenotic hemodialysis arteriovenous fistulas ( AVFs )",dysfunctional stenotic hemodialysis arteriovenous fistulas avfs,C0031847|C0333181|C0019004|C0450109|C0016169|C0449215
9.46+/-2.46,9 46+/-2 46,G0000000|C0450371|C0450371
non-Hodgkin 's lymphoma,non-hodgkin lymphoma,C0024305|C0024299
chronic reversible obstructive airway disease,chronic reversible obstructive airway disease,C0205191|C0205343|C0549186|C0178987|C0012634
advanced stage Hodgkin 's disease ( HD ),advanced stage hodgkin disease hd,C0205179|C0205390|G0000000|C0012634|G0000000
TKA,tka,G0000000
CIU,ciu,G0000000
SF-36,sf-36,C0037712
neurosurgical,neurosurgical,G0000000
Q-MI,q-mi,C3810814
influenza,influenza,C0021400
Six,NULL,NULL
recurred after,recurred,C0034897
Interferon alpha monotherapy relapsers,interferon alpha monotherapy relapsers,C0021747|C0439095|G0000000|G0000000
aged 61 to 78 years,aged 61 78,C0001779|C0450371|C0450371
back,NULL,NULL
adrenal incidentaloma,adrenal incidentaloma,G0000000|G0000000
1161,1161,G0000000
steers fed to meet requirements of natural markets,steers fed meet requirements natural markets,C0553654|C0342895|C1550543|C1514873|C0205296|C1318228
haloperidol,haloperidol,C0018546
alcohol dependence,alcohol dependence,C0001962|C0011546
Children,children,C0008059
Stage II carcinoma of the ovary,stage ii carcinoma ovary,C0205390|G0000000|C0007097|C0029939
CKD,ckd,C1561643
advanced NPC,advanced npc,C0205179|G0000000
Fourteen nonlactating,fourteen nonlactating,C3715152|G0000000
postoperative bleeding,postoperative bleeding,C0032790|C0019080
advanced cystic fibrosis hospitalized,advanced cystic fibrosis hospitalized,C0205179|C0205207|C0016059|C0701159
A total of 170 patients were included in the study .,total 170 patients included study,C0439175|C1442061|C0030705|C0332257|C0557651
ecstasy,ecstasy,C0115471
moderate-severe grass pollen induced rhinoconjunctivitis inadequately,moderate-severe grass pollen induced rhinoconjunctivitis inadequately,C0205081|C0018210|C0032385|C0205263|G0000000|G0000000
mild to moderate essential hypertensive black patients .,mild moderate essential hypertensive black patients,C2945599|C0205081|C0205224|C0857121|C0005680|C0030705
TMD,tmd,C3538714
hospitalized patients with lower respiratory tract infections .,hospitalized patients lower respiratory tract infections,C0701159|C0030705|C0441994|C0521346|C1185740|C3714514
eight male,male,C0086582
in patients with acute respiratory distress syndrome .,patients acute respiratory distress syndrome,C0030705|C0205178|C0521346|C0231303|C0039082
heartburn,heartburn,C0018834
Forty-three,forty-three,C3816449
Fifty-nine,fifty-nine,C3830128
elective shoulder surgery,elective shoulder surgery,C0206058|C0037004|C0038894
renal cell carcinoma,renal cell carcinoma,C0022646|C0007634|C0007097
microdose flare-up cycles in poor responders,microdose flare-up cycles poor responders,C1709021|C3830105|C1511572|C0032854|G0000000
metastatic colorectal cancer ( mCRC ),metastatic colorectal cancer mcrc,C0036525|C0555952|C0006826|G0000000
allogeneic SCT patients,allogeneic sct patients,C1515895|C0860888|C0030705
Forty-two hypertensives 60 years of age or above,forty-two hypertensives 60 age,C3816449|C0857121|C0450371|C0001779
Thirty-eight women,thirty-eight women,C3816446|C0043210
5-88 years,5-88,C0450371
Fifteen white-coat hypertensive,fifteen white-coat hypertensive,C3715153|C0007457|C0857121
CLL,cll,C0023434
childhood acute lymphoblastic leukemia,childhood acute lymphoblastic leukemia,C0231335|C0205178|C0229613|C0023418
62 +/- 10,62 +/- 10,C0450371|G0000000|C0450371
"well over 1,000",1 000,G0000000|C1442061
chemotherapy,chemotherapy,C0013216
tantrums,tantrums,C0233558
sickle cell disease,sickle cell disease,G0000000|C0007634|C0012634
supratentorial primary brain tumors,supratentorial primary brain tumors,C0441938|C0205225|C0006104|C0027651
321 women,321 women,C1442061|C0043210
3-5,3-5,G0000000
39 female,39 female,C0450371|C0015780
malignant diseases,malignant diseases,C0205282|C0012634
pregnancy-related low back pain,pregnancy-related low pain,C0747919|C0205251|C0030193
eyes with open-angle glaucoma,eyes open-angle glaucoma,C0015392|C0175566|C0017601
11 healthy,11 healthy,C0450371|C3898900
1195,1195,G0000000
3.0 to 8.3 years old,3 0 8 3,G0000000|G0000000|G0000000|G0000000
previously had this disease,disease,C0012634
retinopathy,retinopathy,C0035309
smoking cessation,smoking cessation,C0037369|C1880019
ambulatory surgical,ambulatory surgical,C0439841|C0543467
metastatic breast cancer ( MBC ),metastatic breast cancer mbc,C0036525|C0006141|C0006826|C0065839
amputation,amputation,C0002688
healthy volunteers .,healthy volunteers,C3898900|C0042960
first episode psychosis,episode psychosis,C0332189|C0033975
psychosocial interventions in autism .,psychosocial interventions autism,C0542298|C0886296|C0004352
schizophrenia spectrum,schizophrenia spectrum,C0036341|C1883073
117 healthy adult volunteers,117 healthy adult volunteers,C1442061|C3898900|C0001675|C0042960
TPB,tpb,G0000000
advanced Hodgkin lymphoma,advanced hodgkin lymphoma,C0205179|G0000000|C0024299
CNS,cns,C3714787
Ten children,ten children,C0014518|C0008059
sterile urine cultures,sterile urine cultures,C0021359|C0042036|C0010453
second-grade,second-grade,C0205436
symptomatic endometriosis :,symptomatic endometriosis,C0231220|C0014175
9 males,9 males,G0000000|C0086582
premenopausal women,premenopausal women,C0279752|C0043210
osteoporotic women,osteoporotic women,G0000000|C0043210
man,NULL,NULL
critically ill,critically ill,G0000000|C0231218
13 hypertensive,13 hypertensive,C0450371|C0857121
treatment of de novo coronary lesions,treatment de novo coronary lesions,C0039798|C0011198|G0000000|C0018787|C0221198
damp-heat symptom,damp-heat symptom,C0205381|C1457887
twenty,twenty,C0724000
obstructive sleep apnea,obstructive sleep apnea,C0549186|C0037313|C0003578
dependent amphetamine,dependent amphetamine,C0851827|C0002658
patients with myocardial infarction,patients myocardial infarction,C0030705|C0027061|C0021308
1 diabetic,1 diabetic,G0000000|C0241863
active cancer,active cancer,C0205177|C0006826
second-degree burns,second-degree burns,C0443298|C0006434
intact primary tumor,intact primary tumor,C0205266|C0205225|C0027651
participants of a screening program .,participants screening program,C0679646|C0220908|C1709697
300,300,C1442061
chronic renal anemia on maintenance hemodialysis,chronic renal anemia maintenance hemodialysis,C0205191|C0022646|C0002871|C0024501|C0019004
301,301,C1442061
302,302,C1442061
ovulatory dysfunction,ovulatory dysfunction,C0429470|C0031847
304,304,C1442061
306,306,C1442061
795 adults,795 adults,C1442061|C0001675
six males,males,C0086582
PDDs,pdds,C3826971
22 obese men,22 obese,C0450371|C0028754
resuscitation -- head,resuscitation -- head,C0035273|G0000000|C0018670
hemodialysis patients,hemodialysis patients,C0019004|C0030705
310,310,C1442061
313,313,C1442061
Children between the ages 3 and 11 years,children ages 3 11,C0008059|C0001779|G0000000|C0450371
314,314,C1442061
primary open-angle glaucoma or pseudoexfoliative glaucoma,primary open-angle glaucoma pseudoexfoliative glaucoma,C0205225|C0175566|C0017601|G0000000|C0017601
316,316,C1442061
nurses with rapidly rotating shifts,nurses rapidly rotating shifts,C0028661|C0456962|C0231458|C0333051
319,319,C1442061
high dietary calcium intake,dietary calcium intake,C0012155|C0006675|C1512806
critical limb ischaemia,critical limb ischaemia,C1511545|C0015385|C0022116
One hundred seventy-six,seventy-six,C3816957
Two hundred fifty-seven healthy female,fifty-seven healthy female,C3816723|C3898900|C0015780
oral health,oral health,C0442027|C0018684
2 separate multicenter,2 separate multicenter,G0000000|C0443299|C0439743
neuropathic pain,neuropathic pain,C0442874|C0030193
seven females,females,C0015780
Fifty-two patients,fifty-two patients,C3816723|C0030705
322,322,C1442061
metastatic renal cell cancer .,metastatic renal cell cancer,C0036525|C0022646|C0007634|C0006826
42 females,42 females,C0450371|C0015780
323,323,C1442061
Two hundred and one,NULL,NULL
older children,children,C0008059
diabetics,diabetics,C0241863
ovarian stimulation,ovarian stimulation,C0205065|C1292856
blood product requirements,blood product requirements,C0005767|C1514468|C1514873
Eleven,eleven,C0205457
stage I endometrial cancer,stage endometrial cancer,C0205390|C0227843|C0006826
Ninety,NULL,NULL
locoregional advanced stage NPC,locoregional advanced stage npc,G0000000|C0205179|C0205390|G0000000
49 +/- 2,49 +/- 2,C0450371|G0000000|G0000000
330,330,C1442061
major reconstructive spinal surgery,major reconstructive spinal surgery,C0205082|C0020912|C0521329|C0038894
men,NULL,NULL
cirrhosis,cirrhosis,C0023890
sleep onset insomnia and impaired sleep maintenance,sleep onset insomnia impaired sleep maintenance,C0037313|C0206132|C0917801|C0221099|C0037313|C0024501
symptomatic paroxysmal atrial fibrillation and/or flutter,symptomatic paroxysmal atrial fibrillation and/or flutter,C0231220|C0205311|C0018792|C0232197|G0000000|C0016385
age related macular degeneration ( AMD ),age macular degeneration amd,C0001779|C0332574|C0011164|C3539530
arm A ( ABVD/MOPP,arm abvd/mopp,C0446516|C0280554
cardiac arrhythmia,cardiac arrhythmia,C0018787|C0003811
heterotopic ossification,heterotopic ossification,C0574894|C0029433
short-term memory,short-term memory,C0443303|C0025260
heterozygous familial hypercholesterolemia,heterozygous familial hypercholesterolemia,C0019425|C0015576|C0020443
uveal melanoma :,uveal melanoma,C0042160|C0025202
340,340,C1442061
12 %,12 %,C0450371|G0000000
chemotherapy for advanced solid tumors :,chemotherapy advanced solid tumors,C0013216|C0205179|C0205208|C0027651
blepharoconjunctivitis,blepharoconjunctivitis,C0005743
stage III chronic decubitus ulcers,stage iii chronic decubitus ulcers,C0205390|C0439070|C0205191|C0442303|C0041582
light-for-gestation infants,light-for-gestation infants,C0023693|C0021270
348,348,C1442061
14 women,14 women,C0450371|C0043210
subjects susceptible to tilt-induced syncope,subjects susceptible tilt-induced syncope,C0681850|C0220898|C1711426|C0039070
OA of the hip or knee,oa hip knee,C0029408|C0019552|C0022742
Fifty-one patients,fifty-one patients,C3816723|C0030705
posterior uveitis,posterior uveitis,C0205095|C0042164
Seventy-four ulcers,seventy-four ulcers,C3816957|C0041582
toddlers,toddlers,C0682053
inhaled beclomethasone dipropionate,inhaled beclomethasone dipropionate,C0004048|C0004905|G0000000
10 men,10,C0450371
mood changes,mood,C0026516
29 years,29,C0450371
